freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.785e+02,8.077e+00,4.388e+00,2.909e+02
1.5,1.768e+02,3.111e+01,1.172e+01,2.196e+02
3.1,3.377e+01,3.462e+01,1.307e+01,8.146e+01
4.6,3.442e+02,3.724e+01,1.380e+01,3.952e+02
6.1,1.278e+03,3.516e+01,1.290e+01,1.326e+03
7.6,2.097e+03,3.608e+01,1.387e+01,2.147e+03
9.2,2.947e+03,3.513e+01,1.525e+01,2.997e+03
10.7,4.003e+03,3.324e+01,1.574e+01,4.052e+03
12.2,5.389e+03,3.268e+01,1.885e+01,5.440e+03
13.7,7.073e+03,3.764e+01,2.529e+01,7.136e+03
15.3,8.540e+03,5.758e+01,4.663e+01,8.644e+03
16.8,8.105e+03,8.361e+01,7.393e+01,8.263e+03
18.3,7.646e+03,7.691e+01,5.502e+01,7.778e+03
19.8,8.624e+03,5.165e+01,2.832e+01,8.704e+03
21.4,1.027e+04,4.224e+01,1.920e+01,1.033e+04
22.9,1.265e+04,3.922e+01,2.406e+01,1.272e+04
24.4,1.461e+04,3.433e+01,3.614e+01,1.468e+04
25.9,1.510e+04,3.501e+01,3.724e+01,1.517e+04
27.5,1.642e+04,3.627e+01,3.189e+01,1.649e+04
29.0,1.870e+04,3.555e+01,2.813e+01,1.876e+04
30.5,2.179e+04,3.993e+01,2.215e+01,2.185e+04
32.1,2.553e+04,5.178e+01,1.933e+01,2.560e+04
33.6,2.866e+04,8.625e+01,2.202e+01,2.877e+04
35.1,3.131e+04,1.703e+02,2.963e+01,3.151e+04
36.6,3.363e+04,2.617e+02,3.663e+01,3.393e+04
38.2,3.604e+04,3.446e+02,3.504e+01,3.642e+04
39.7,3.899e+04,3.668e+02,3.185e+01,3.939e+04
41.2,4.171e+04,4.029e+02,3.106e+01,4.214e+04
42.7,4.505e+04,5.282e+02,2.673e+01,4.561e+04
44.3,4.890e+04,6.175e+02,2.522e+01,4.955e+04
45.8,5.211e+04,6.215e+02,2.813e+01,5.276e+04
47.3,5.560e+04,5.199e+02,3.215e+01,5.615e+04
48.8,5.949e+04,4.450e+02,3.500e+01,5.997e+04
50.4,6.458e+04,4.144e+02,3.435e+01,6.503e+04
51.9,7.029e+04,3.785e+02,3.373e+01,7.071e+04
53.4,7.784e+04,3.156e+02,3.950e+01,7.819e+04
55.0,8.626e+04,2.856e+02,3.925e+01,8.659e+04
56.5,9.840e+04,3.584e+02,3.492e+01,9.879e+04
58.0,1.128e+05,5.800e+02,3.985e+01,1.134e+05
59.5,1.247e+05,7.835e+02,4.888e+01,1.256e+05
61.1,1.439e+05,1.036e+03,4.940e+01,1.450e+05
62.6,1.695e+05,9.864e+02,4.380e+01,1.705e+05
64.1,1.979e+05,6.994e+02,3.550e+01,1.987e+05
65.6,2.266e+05,5.032e+02,3.885e+01,2.272e+05
67.2,2.729e+05,4.894e+02,5.626e+01,2.735e+05
68.7,3.216e+05,4.981e+02,7.532e+01,3.222e+05
70.2,3.680e+05,5.204e+02,1.178e+02,3.687e+05
71.7,4.386e+05,5.934e+02,2.130e+02,4.394e+05
73.3,5.496e+05,7.607e+02,3.832e+02,5.507e+05
74.8,6.676e+05,1.921e+03,4.951e+02,6.700e+05
76.3,6.632e+05,3.099e+03,3.958e+02,6.667e+05
77.8,5.381e+05,2.689e+03,3.027e+02,5.411e+05
79.4,4.218e+05,2.068e+03,2.419e+02,4.241e+05
80.9,2.942e+05,1.208e+03,2.379e+02,2.956e+05
82.4,1.826e+05,5.026e+02,2.302e+02,1.833e+05
84.0,1.306e+05,5.184e+02,1.886e+02,1.313e+05
85.5,1.014e+05,7.138e+02,1.174e+02,1.022e+05
87.0,8.538e+04,1.070e+03,6.727e+01,8.652e+04
88.5,9.359e+04,3.119e+03,5.134e+01,9.676e+04
90.1,1.163e+05,7.027e+03,4.979e+01,1.234e+05
91.6,1.393e+05,8.548e+03,8.617e+01,1.480e+05
93.1,1.786e+05,8.328e+03,1.626e+02,1.870e+05
94.6,2.223e+05,7.091e+03,2.730e+02,2.297e+05
96.2,2.631e+05,5.896e+03,4.250e+02,2.694e+05
97.7,2.595e+05,4.940e+03,7.117e+02,2.652e+05
99.2,2.726e+05,4.331e+03,1.263e+03,2.782e+05
100.7,3.289e+05,3.968e+03,2.134e+03,3.350e+05
102.3,3.786e+05,3.796e+03,2.954e+03,3.854e+05
103.8,3.818e+05,4.432e+03,4.161e+03,3.904e+05
105.3,3.493e+05,6.088e+03,6.691e+03,3.621e+05
106.8,4.219e+05,6.839e+03,1.016e+04,4.389e+05
108.4,5.510e+05,6.778e+03,1.486e+04,5.726e+05
