freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.591e+01,2.415e+02,4.511e+02,7.086e+02
1.5,1.829e+01,1.636e+02,2.558e+02,4.377e+02
3.1,1.403e+01,3.400e+01,2.403e+01,7.206e+01
4.6,1.398e+01,3.015e+01,3.330e+02,3.771e+02
6.1,1.540e+01,3.188e+01,1.275e+03,1.322e+03
7.6,1.533e+01,3.425e+01,2.126e+03,2.175e+03
9.2,1.464e+01,3.510e+01,3.072e+03,3.122e+03
10.7,1.562e+01,4.207e+01,4.353e+03,4.411e+03
12.2,1.640e+01,5.163e+01,5.945e+03,6.013e+03
13.7,2.760e+01,7.912e+01,7.910e+03,8.016e+03
15.3,1.101e+02,1.269e+02,1.026e+04,1.050e+04
16.8,2.949e+02,1.595e+02,1.193e+04,1.238e+04
18.3,2.873e+02,1.290e+02,1.155e+04,1.197e+04
19.8,1.724e+02,1.485e+02,1.109e+04,1.141e+04
21.4,1.414e+02,2.493e+02,1.244e+04,1.283e+04
22.9,1.596e+02,2.172e+02,1.346e+04,1.384e+04
24.4,1.591e+02,1.438e+02,1.491e+04,1.521e+04
25.9,9.936e+01,1.215e+02,1.498e+04,1.520e+04
27.5,6.343e+01,6.937e+01,1.589e+04,1.602e+04
29.0,4.073e+01,1.022e+02,1.743e+04,1.758e+04
30.5,3.248e+01,1.672e+02,1.858e+04,1.878e+04
32.1,2.905e+01,2.310e+02,1.986e+04,2.012e+04
33.6,3.760e+01,3.174e+02,2.218e+04,2.254e+04
35.1,4.266e+01,3.808e+02,2.586e+04,2.628e+04
36.6,4.129e+01,3.847e+02,3.068e+04,3.111e+04
38.2,4.594e+01,3.980e+02,3.600e+04,3.645e+04
39.7,5.788e+01,4.562e+02,4.243e+04,4.294e+04
41.2,5.708e+01,5.285e+02,5.021e+04,5.080e+04
42.7,4.828e+01,6.562e+02,6.016e+04,6.086e+04
44.3,4.649e+01,1.010e+03,7.135e+04,7.241e+04
45.8,6.324e+01,1.611e+03,7.513e+04,7.680e+04
47.3,6.953e+01,2.351e+03,7.538e+04,7.780e+04
48.8,7.016e+01,2.712e+03,7.926e+04,8.204e+04
50.4,6.988e+01,3.162e+03,9.027e+04,9.351e+04
51.9,7.028e+01,4.088e+03,1.065e+05,1.107e+05
53.4,8.032e+01,6.336e+03,1.309e+05,1.373e+05
54.9,8.098e+01,1.056e+04,1.595e+05,1.701e+05
56.5,9.932e+01,1.863e+04,1.974e+05,2.161e+05
58.0,2.121e+02,3.729e+04,2.451e+05,2.826e+05
59.5,3.870e+02,9.232e+04,3.074e+05,4.001e+05
61.1,3.292e+02,3.162e+05,3.581e+05,6.746e+05
62.6,4.845e+02,6.379e+05,3.858e+05,1.024e+06
64.1,2.265e+03,8.197e+05,4.975e+05,1.319e+06
65.6,5.958e+03,1.032e+06,7.359e+05,1.774e+06
67.2,1.303e+04,1.355e+06,1.189e+06,2.557e+06
68.7,2.520e+04,1.614e+06,1.795e+06,3.434e+06
70.2,2.912e+04,1.508e+06,2.162e+06,3.699e+06
71.7,2.219e+04,1.383e+06,2.323e+06,3.728e+06
73.3,1.602e+04,1.230e+06,2.283e+06,3.529e+06
74.8,1.515e+04,1.079e+06,2.089e+06,3.184e+06
76.3,1.609e+04,8.987e+05,1.755e+06,2.670e+06
77.8,1.208e+04,7.307e+05,1.425e+06,2.168e+06
79.4,6.370e+03,6.051e+05,1.185e+06,1.797e+06
80.9,1.257e+04,5.275e+05,1.060e+06,1.601e+06
82.4,1.595e+04,4.431e+05,9.806e+05,1.440e+06
83.9,1.277e+04,3.403e+05,8.814e+05,1.235e+06
85.5,1.029e+04,2.622e+05,7.893e+05,1.062e+06
87.0,8.606e+03,2.084e+05,6.883e+05,9.053e+05
88.5,8.341e+03,1.709e+05,6.011e+05,7.803e+05
90.1,1.002e+04,1.335e+05,5.349e+05,6.784e+05
91.6,1.297e+04,9.856e+04,4.776e+05,5.892e+05
93.1,1.627e+04,7.432e+04,4.300e+05,5.206e+05
94.6,1.893e+04,5.839e+04,3.858e+05,4.631e+05
96.2,2.070e+04,4.818e+04,3.439e+05,4.128e+05
97.7,2.187e+04,4.032e+04,2.968e+05,3.590e+05
99.2,2.367e+04,3.487e+04,2.566e+05,3.151e+05
100.7,2.611e+04,3.192e+04,2.326e+05,2.906e+05
102.3,2.833e+04,2.969e+04,2.129e+05,2.709e+05
103.8,3.187e+04,2.791e+04,1.958e+05,2.556e+05
105.3,4.389e+04,2.700e+04,1.799e+05,2.508e+05
106.8,7.640e+04,2.698e+04,1.652e+05,2.686e+05
108.4,1.081e+05,2.649e+04,1.535e+05,2.881e+05
109.9,1.279e+05,2.383e+04,1.451e+05,2.969e+05
111.4,1.442e+05,1.802e+04,1.362e+05,2.985e+05
112.9,1.599e+05,1.243e+04,1.249e+05,2.971e+05
114.5,1.799e+05,9.011e+03,1.225e+05,3.114e+05
116.0,1.373e+05,8.003e+03,1.259e+05,2.712e+05
117.5,8.218e+04,8.174e+03,1.241e+05,2.144e+05
119.1,7.031e+04,6.876e+03,1.128e+05,1.900e+05
120.6,5.920e+04,5.711e+03,9.934e+04,1.642e+05
122.1,5.227e+04,9.208e+03,9.074e+04,1.522e+05
123.6,4.640e+04,1.840e+04,9.004e+04,1.548e+05
125.2,3.957e+04,2.191e+04,9.326e+04,1.547e+05
126.7,3.621e+04,2.131e+04,9.675e+04,1.543e+05
128.2,3.662e+04,2.086e+04,9.978e+04,1.573e+05
129.7,3.533e+04,2.055e+04,1.008e+05,1.567e+05
131.3,3.504e+04,1.977e+04,9.147e+04,1.463e+05
132.8,2.770e+04,1.819e+04,4.975e+04,9.564e+04
134.3,1.838e+04,1.643e+04,6.419e+03,4.123e+04
135.8,1.819e+04,1.580e+04,2.119e+03,3.611e+04
137.4,3.037e+04,1.506e+04,2.647e+03,4.808e+04
138.9,4.048e+04,1.385e+04,3.060e+03,5.739e+04
140.4,5.563e+04,1.283e+04,3.197e+03,7.166e+04
141.9,4.807e+04,1.163e+04,2.122e+03,6.183e+04
143.5,2.759e+04,9.242e+03,1.601e+03,3.844e+04
145.0,2.626e+04,7.296e+03,1.808e+03,3.536e+04
146.5,1.562e+04,6.521e+03,1.671e+03,2.381e+04
148.1,1.152e+04,6.131e+03,1.443e+03,1.910e+04
149.6,1.034e+04,5.374e+03,1.351e+03,1.706e+04
151.1,7.622e+03,4.293e+03,1.340e+03,1.326e+04
152.6,4.546e+03,3.323e+03,1.435e+03,9.304e+03
154.2,1.790e+03,2.433e+03,1.640e+03,5.863e+03
155.7,2.053e+03,1.707e+03,1.782e+03,5.542e+03
157.2,2.289e+03,1.332e+03,1.627e+03,5.249e+03
158.7,1.981e+03,1.061e+03,1.590e+03,4.632e+03
160.3,2.115e+03,8.913e+02,1.528e+03,4.534e+03
161.8,1.133e+03,1.023e+03,1.336e+03,3.491e+03
163.3,6.717e+02,1.097e+03,1.291e+03,3.060e+03
164.8,7.069e+02,9.180e+02,1.476e+03,3.101e+03
166.4,6.602e+02,7.831e+02,1.876e+03,3.319e+03
167.9,5.968e+02,6.717e+02,2.109e+03,3.377e+03
169.4,5.107e+02,5.746e+02,1.936e+03,3.022e+03
171.0,4.948e+02,5.511e+02,1.870e+03,2.916e+03
172.5,5.703e+02,4.428e+02,2.032e+03,3.045e+03
